parents
f1,f2, front
163.5,3.03414,0
153.728,17.9749,0
155.345,16.4474,0
163.89,9.03496,1
153.807,25.5909,1
155.69,18.393,1
154.277,19.6914,1
157.211,18.8348,2
155.288,20.737,2
164.268,20.4961,3
155.432,25.8436,3
158.307,20.5242,3
165.523,22.6315,4
155.519,35.5684,4
163.48,25.5156,4
158.778,30.5013,4
160.667,30.1899,4
167.553,23.3982,5
156.85,61.3902,5
158.562,48.1944,5
161.835,42.7507,5
163.972,35.0973,5
164.243,27.9042,5
166.892,26.9196,5
171.138,24.7733,6
160.298,54.5436,6
161.691,48.3395,6
164.322,39.9892,6
165.005,35.1732,6
168.227,30.2258,6
168.356,28.7725,6
172.218,27.9721,7
160.888,59.3071,7
167.283,43.1111,7
169.433,33.3922,7
165.202,50.2706,7
163.68,51.2025,7
161.303,56.8164,7
171.473,28.7729,7
171.518,31.2467,8
161.306,56.9744,8
169.779,37.7305,8
173.434,36.1928,9
163.052,57.0585,9
169.951,40.5421,9
173.011,42.7327,10
167.364,61.8603,10
171.098,44.8898,10
168.353,63.2214,11
172.354,63.5544,12
